Method,Bay,Buoy #,Day #,Replicate #,Sample Hour,Sample Period,Copper (µg/L),Date,Time
ICP,SAB,B4,D7,1,H0,Exposure,75.13763867,7/28/2019,5:27
ICP,SAB,B5,D7,1,H0,Exposure,81.80277907,7/28/2019,5:33
ICP,SAB,B1,D7,1,H1,Exposure,61.40673867,7/28/2019,7:04
ICP,SAB,B2,D7,1,H1,Exposure,75.8204144,7/28/2019,7:08
ICP,SAB,B3,D7,1,H1,Exposure,83.9006452,7/28/2019,7:12
ICP,SAB,B4,D7,1,H1,Exposure,75.79995267,7/28/2019,7:15
ICP,SAB,B5,D7,1,H1,Exposure,73.28208253,7/28/2019,7:19
ICP,SAB,B1,D7,1,H2,Exposure,59.640568,7/28/2019,8:04
ICP,SAB,B2,D7,1,H2,Exposure,76.35134253,7/28/2019,8:09
ICP,SAB,B3,D7,1,H2,Exposure,78.90152067,7/28/2019,8:14
ICP,SAB,B4,D7,1,H2,Exposure,73.61162413,7/28/2019,8:19
ICP,SAB,B5,D7,1,H2,Exposure,72.96007947,7/28/2019,8:22
ICP,SAB,B1,D7,1,H3,Exposure,62.50413373,7/28/2019,9:01
ICP,SAB,B2,D7,1,H3,Exposure,77.86658773,7/28/2019,9:06
ICP,SAB,B3,D7,1,H3,Exposure,82.3240148,7/28/2019,9:09
ICP,SAB,B4,D7,1,H3,Exposure,103.6828336,7/28/2019,9:12
ICP,SAB,B5,D7,1,H3,Exposure,93.09980973,7/28/2019,9:15
ICP,SAB,B1,D7,1,H4,Exposure,65.97078213,7/28/2019,10:02
ICP,SAB,B2,D7,1,H4,Exposure,76.53011347,7/28/2019,10:06
ICP,SAB,B3,D7,1,H4,Exposure,82.55555547,7/28/2019,10:08
ICP,SAB,B4,D7,1,H4,Exposure,89.82162467,7/28/2019,10:11
ICP,SAB,B5,D7,1,H4,Exposure,78.52997867,7/28/2019,10:14
ICP,SAB,B1,D7,1,H5,Exposure,65.12215867,7/28/2019,11:00
ICP,SAB,B2,D7,1,H5,Exposure,86.96775133,7/28/2019,11:04
ICP,SAB,B3,D7,1,H5,Exposure,92.38041827,7/28/2019,11:07
ICP,SAB,B4,D7,1,H5,Exposure,81.028464,7/28/2019,11:10
ICP,SAB,B5,D7,1,H5,Exposure,103.7711421,7/28/2019,11:12
ICP,SAB,B1,D7,1,H6,Exposure,73.86039573,7/28/2019,12:01
ICP,SAB,B2,D7,1,H6,Exposure,109.2645791,7/28/2019,12:04
ICP,SAB,B3,D7,1,H6,Exposure,85.7971248,7/28/2019,12:07
ICP,SAB,B4,D7,1,H6,Exposure,81.86093347,7/28/2019,12:09
ICP,SAB,B5,D7,1,H6,Exposure,111.6284477,7/28/2019,12:11
ICP,SAB,B1,D7,1,H7,Exposure,65.6401636,7/28/2019,13:02
ICP,SAB,B2,D7,1,H7,Exposure,88.10606987,7/28/2019,13:05
ICP,SAB,B3,D7,1,H7,Exposure,93.5768912,7/28/2019,13:07
ICP,SAB,B4,D7,1,H7,Exposure,82.62771,7/28/2019,13:10
ICP,SAB,B5,D7,1,H7,Exposure,72.92346373,7/28/2019,13:13
ICP,SAB,B1,D7,1,H8,Exposure,72.34622747,7/28/2019,14:01
ICP,SAB,B2,D7,1,H8,Exposure,83.54741107,7/28/2019,14:03
ICP,SAB,B3,D7,1,H8,Exposure,85.98343427,7/28/2019,14:06
ICP,SAB,B4,D7,1,H8,Exposure,81.00477147,7/28/2019,14:08
